frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,frame.len
"1873","Feb  9, 2025 01:29:22.837809065 IST","185.125.190.83","172.20.0.3","80","37384","TCP","2922"
"1874","Feb  9, 2025 01:29:22.837893456 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"1875","Feb  9, 2025 01:29:22.838096163 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"1876","Feb  9, 2025 01:29:22.838135738 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"1877","Feb  9, 2025 01:29:22.838144535 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"1878","Feb  9, 2025 01:29:22.838149324 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1879","Feb  9, 2025 01:29:22.838153355 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1880","Feb  9, 2025 01:29:22.838224427 IST","185.125.190.83","172.20.0.10","80","45774","TCP","1494"
"1881","Feb  9, 2025 01:29:22.838256051 IST","185.125.190.83","172.20.0.10","80","45774","TCP","1494"
"1882","Feb  9, 2025 01:29:22.838395480 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"1883","Feb  9, 2025 01:29:22.838416857 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1884","Feb  9, 2025 01:29:22.838430877 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1885","Feb  9, 2025 01:29:22.838484807 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1886","Feb  9, 2025 01:29:22.838490916 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1887","Feb  9, 2025 01:29:22.838575104 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1888","Feb  9, 2025 01:29:22.838763897 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"1889","Feb  9, 2025 01:29:22.838951654 IST","91.189.91.83","172.20.0.6","80","38854","TCP","1494"
"1890","Feb  9, 2025 01:29:22.839086555 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"1891","Feb  9, 2025 01:29:22.839206879 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"1892","Feb  9, 2025 01:29:22.839229864 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1893","Feb  9, 2025 01:29:22.839232297 IST","91.189.91.83","172.20.0.4","80","42916","TCP","2922"
"1894","Feb  9, 2025 01:29:22.839247062 IST","172.20.0.4","91.189.91.83","42916","80","TCP","86"
"1895","Feb  9, 2025 01:29:22.839267800 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1896","Feb  9, 2025 01:29:22.839335543 IST","172.20.0.10","185.125.190.83","45774","80","TCP","94"
"1897","Feb  9, 2025 01:29:22.839358945 IST","185.125.190.83","172.20.0.3","80","37384","TCP","2922"
"1898","Feb  9, 2025 01:29:22.839360703 IST","91.189.91.83","172.20.0.6","80","38854","TCP","1494"
"1899","Feb  9, 2025 01:29:22.839509457 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"1900","Feb  9, 2025 01:29:22.839513854 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"1901","Feb  9, 2025 01:29:22.839516661 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"1902","Feb  9, 2025 01:29:22.839683718 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"1903","Feb  9, 2025 01:29:22.840062081 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1904","Feb  9, 2025 01:29:22.840345726 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"1905","Feb  9, 2025 01:29:22.840969356 IST","91.189.91.83","172.20.0.4","80","42916","TCP","274"
"1906","Feb  9, 2025 01:29:22.842091829 IST","172.20.0.4","91.189.91.83","42916","80","TCP","94"
"1907","Feb  9, 2025 01:29:22.842497391 IST","185.125.190.83","172.20.0.3","80","37384","TCP","2922"
"1908","Feb  9, 2025 01:29:22.842514775 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1909","Feb  9, 2025 01:29:22.842517769 IST","185.125.190.83","172.20.0.3","80","37384","TCP","1494"
"1910","Feb  9, 2025 01:29:22.842528243 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1911","Feb  9, 2025 01:29:22.842906747 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"1912","Feb  9, 2025 01:29:22.843019764 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1913","Feb  9, 2025 01:29:22.843041170 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"1914","Feb  9, 2025 01:29:22.843183600 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"1915","Feb  9, 2025 01:29:22.843208167 IST","91.189.91.83","172.20.0.4","80","42916","TCP","2922"
"1916","Feb  9, 2025 01:29:22.843230263 IST","91.189.91.83","172.20.0.2","80","43416","TCP","2922"
"1917","Feb  9, 2025 01:29:22.843252741 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"1918","Feb  9, 2025 01:29:22.843274265 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"1919","Feb  9, 2025 01:29:22.843284393 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"1920","Feb  9, 2025 01:29:22.843571333 IST","185.125.190.83","172.20.0.10","80","45774","TCP","2922"
"1921","Feb  9, 2025 01:29:22.843616042 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"1922","Feb  9, 2025 01:29:22.843786445 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"1923","Feb  9, 2025 01:29:22.843834706 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"1924","Feb  9, 2025 01:29:22.843901696 IST","185.125.190.82","172.20.0.5","80","42272","TCP","1494"
